SCATS_ID,Station_Name
381,BURWOOD HWY/DOBSON (AMBULANCE DEPOT)
177,BURWOOD HWY/DORSET
2004,BURWOOD HWY/ELGAR/McINTYRE
176,BURWOOD HWY/FERNTREE GULLY
872,BURWOOD HWY/FIRE STATION
2001,BURWOOD HWY/GILMOUR/SOMERS
919,BURWOOD HWY/GLENFERN (TECOMA)
166,BURWOOD HWY/HANOVER/HARTLAND
166,BURWOOD HWY/HANOVER/HARTLAND
2012,BURWOOD HWY/HIGH STREET RD/LEWIS
577,BURWOOD HWY/HOLLAND/K-MART ENT
172,BURWOOD HWY/KNOX CITY ENT 2/TYNER
173,BURWOOD HWY/KNOX CITY ENT 3/LYNNE
180,BURWOOD HWY/KNOX CITY ENT 4
178,BURWOOD HWY/KNOX CITY ENT 5/TYNER
161,BURWOOD HWY/LAKESIDE DR
159,BURWOOD HWY/LAKEWOOD DVE
2008,BURWOOD HWY/MIDDLEBOROUGH
168,BURWOOD HWY/MORACK RD
920,BURWOOD HWY/MORRIS/MAST GULLY
169,BURWOOD HWY/MOUNTAIN HWY
868,BURWOOD HWY/MT DANDENONG TOURIST RD
165,BURWOOD HWY/SAFEWAY ENTRANCE/RSPCA ENT
921,BURWOOD HWY/SANDELLS
174,BURWOOD HWY/SCORESBY
164,BURWOOD HWY/SPRINGVALE
538,BURWOOD HWY/STANLEY/FORTESCUE
2006,BURWOOD HWY/STATION
723,BURWOOD HWY/STATION
170,BURWOOD HWY/STUD
2009,BURWOOD HWY/TEMPLETON/RENOU
2000,BURWOOD HWY/WARRIGAL
4289,BURWOOD NR BARTON
4265,BURWOOD NR LAUNDER
4279,BURWOOD NR MORANG
4266,BURWOOD/AUBURN
3668,BURWOOD/BUNNINGS ACCESS
4285,BURWOOD/CAMBERWELL
4262,BURWOOD/CHURCH
764,BURWOOD/GLENFERN (FERNTREE GULLY)
4264,BURWOOD/GLENFERRIE
4263,BURWOOD/POWER
4280,BURWOOD/WILLIAM
2059,CAIRNLEA/WOODBURN
2743,CALDER FREEWAY OFF RAMP/MCNAMARA
6452,CALDER HWY (FIFTEENTH ST) NR ELIZABETH
6257,CALDER HWY / THISTLE STREET - BENDIGO
6258,CALDER HWY NR CAMP
6446,CALDER HWY NR MILDURA PLAZA
5937,CALDER HWY(HIGH ST)/MOLLISON
6256,CALDER HWY/ALDER STREET
6233,CALDER HWY/IRONBARK
6451,CALDER HWY/KARADOC
2730,CALDER HWY/KEILOR PARK DVE
6259,CALDER HWY[HIGH ST]/LAUREL.
6285,CALDER(DON)/BARNARD
5936,CALDER/ASHBOURNE/QUARRY
6254,CALDER/LANSELL PLAZA
6253,CALDER/LOCKWOOD/CAMP
6230,CALDER/LODDON VLY
6255,CALDER/OAK
6450,CALDER/SAN MATEO
6461,CALDER/SANDILONG
6252,CALDER/TAYLOR/WESLEY
6252,CALDER/TAYLOR/WESLEY
3829,CAMBERWELL NR BOWEN
3810,CAMBERWELL NR BUTLER
2839,CAMBERWELL NR EVANS
3813,CAMBERWELL NR GLEN IRIS
3811,CAMBERWELL NR INGLESBY
4281,CAMBERWELL NR MAYSTON
4267,CAMBERWELL/HAROLD
3812,CAMBERWELL/SEYMOUR/TRAFALGAR
3978,CAMP NR HARTLEY (FIRE STN)
3984,CAMP NR JOSEPH
3986,CAMP NR SMILEY
3969,CAMP RD/NORTHCORP BLD
3964,CAMP/ MAYGAR / CSL ACCESS
3985,CAMP/BLAIR/WIDFORD
3997,CAMP/MAIN
6310,CAMPBELL ST NR MCCRAE
836,CANADIAN BAY/MT ELIZA WAY
4410,CANNING/ELGIN
2716,CANNING/MILITARY
854,CANTERBURY NR ALLENS
850,CANTERBURY NR ANDREW
4910,CANTERBURY NR ARMSTRONG
861,CANTERBURY NR BALFOUR
2011,CANTERBURY NR BALMORAL
841,CANTERBURY NR BRANKSOME
847,CANTERBURY NR BRENTFORD
3124,CANTERBURY NR CHAUCER
3137,CANTERBURY NR CLYDESDALE
110,CANTERBURY NR CRESTVIEW
4841,CANTERBURY NR FRASER
3133,CANTERBURY NR GIBSON
999,CANTERBURY NR GREEN HILL
858,CANTERBURY NR HEATHWOOD (ARMSTRONG)
3129,CANTERBURY NR KENNEALY
3121,CANTERBURY NR LOCH
3123,CANTERBURY NR MANGARRA
4830,CANTERBURY NR MARY
842,CANTERBURY NR ORCHARD
3128,CANTERBURY NR ROCHESTER
4924,CANTERBURY NR WRIGHT
971,CANTERBURY RD/GREAT RYRIE STREET
3127,CANTERBURY/BALWYN
139,CANTERBURY/BAYFIELD
860,CANTERBURY/BAYSWATER
857,CANTERBURY/BEDFORD/ARINGA
844,CANTERBURY/BLACKBURN
158,CANTERBURY/BUNNINGS HARDWARE ACCESS
893,CANTERBURY/CADBURY SCHWEPPES ENTRANCE
863,CANTERBURY/COLCHESTER
3130,CANTERBURY/ELGAR
4831,CANTERBURY/FITZROY/GREY
859,CANTERBURY/GATWICK
845,CANTERBURY/GLEBE
851,CANTERBURY/HEATHERDALE
